Date,Open,High,Low,Close,Adj Close,Volume,Country/ Region,In USD
3/4/20,38715.71875,38791.69922,37846.10156,38409.48047,38409.48047,15300,India,499.3232461
3/5/20,38604.25,38887.80078,38386.67969,38470.60938,38470.60938,13500,India,500.1179219
3/6/20,37613.96094,37747.07031,37011.08984,37576.62109,37576.62109,19000,India,488.4960742
3/9/20,36950.19922,36950.19922,35109.17969,35634.94922,35634.94922,18800,India,463.2543399
3/11/20,35468.89844,36021.51172,35261.92188,35697.39844,35697.39844,27900,India,464.0661797
3/12/20,34472.5,34472.5,32493.09961,32778.14063,32778.14063,25200,India,426.1158282
3/13/20,31214.13086,34769.48047,29388.9707,34103.48047,34103.48047,32600,India,443.3452461
3/16/20,33103.23828,33103.23828,31276.30078,31390.07031,31390.07031,18100,India,408.070914
3/17/20,31611.57031,32047.98047,30394.93945,30579.08984,30579.08984,21500,India,397.5281679
3/18/20,30968.83984,31101.76953,28613.05078,28869.50977,28869.50977,31300,India,375.303627
